#{"t_start": 1693608707.6590393, "env_id": "plainQuadruped-v2"}
r,l,t
922.752871,1065,4.199547
2816.273112,3374,10.63463
4101.801288,3121,17.051559
-1022.53525,2545,22.603884
5806.693406,4449,31.852669
1098.076192,1742,35.806248
-2396.435301,273,36.842984
4327.962385,5001,46.587815
1735.633315,1533,49.951374
-2397.499657,2394,54.834213
689.560433,964,56.80988
-1132.837142,2291,61.400913
-2706.446936,522,62.493904
-2086.522072,1809,66.104171
-2688.997411,1138,68.868871
-1762.298328,1693,72.269537
72.279802,2946,78.492457
-121.375168,1144,81.494235
-2822.221285,1095,84.064567
157.553924,3146,91.781729
-3277.064636,1945,96.28287
-634.402525,2896,103.372771
-1550.985925,5001,115.380645
-2683.363076,2079,120.585987
3711.551922,4395,131.255596
-2109.991919,1136,133.859477
-1437.373421,5001,146.028995
-2782.553002,2100,151.347951
-1210.614415,2812,157.750948
-1977.807535,4609,169.186797
-2564.651796,274,169.925468
2655.282351,2282,175.054798
2932.82743,5001,185.973018
3801.400069,5001,196.787311
3867.803785,5001,208.582154
5058.423547,5001,220.156071
2554.991641,5001,230.934593
11158.146738,5001,241.752211
3937.439487,3015,247.97003
9668.274284,5001,259.802436
7624.576659,5001,271.89345
6094.984197,5001,283.63645
6585.740524,5001,295.342121
8097.18686,5001,307.524794
10051.840822,5001,319.509061
7011.787751,5001,331.601873
5672.444451,5001,343.293751
13507.491829,5001,353.224771
6838.865253,4582,364.009658
-2583.054904,483,365.802503
10293.473695,5001,377.296288
2288.59447,2019,382.035536
-959.090698,132,382.486945
1483.891558,1213,385.922245
10958.049176,5001,397.621226
8900.092273,5001,409.276965
5947.757966,4030,418.861178
8677.9369,5001,430.539567
5739.009058,5001,442.393263
4658.856209,5001,454.190357
9165.198802,4907,466.014516
-145.62532,1667,469.885339
4273.288172,5001,481.60175
-1203.491441,2290,487.080939
2691.635739,2616,493.479224
12126.957976,5001,505.343188
6032.935682,4339,515.310278
-941.091315,130,515.793717
5908.595341,4254,525.766339
-943.88591,846,527.775162
5581.601354,5001,539.588603
1821.561283,1927,544.30085
4780.005524,4005,553.628445
3434.458177,3088,561.337003
1079.360324,1551,564.939272
-2869.960808,2842,571.735286
2569.571162,2771,578.335714
2567.926719,1306,581.86511
-540.790473,184,582.412607
1909.933082,2109,587.240737
-845.930106,222,587.895535
3805.074924,4104,597.297951
8790.832685,5001,607.496648
1989.050198,1421,610.391275
2554.14729,1577,613.733215
3336.412803,2092,617.920013
1026.983953,1267,620.486212
5139.960167,2532,626.226742
957.226029,1406,629.368382
-649.036048,169,629.891857
327.064727,1856,634.830677
9288.837215,5001,646.40242
-116.476718,460,647.540106
780.524284,453,648.662125
-1063.5075,1001,651.036279
469.054454,377,652.102246
473.351143,871,654.822224
-1383.885384,1050,657.171356
539.240345,443,658.33341
1392.891112,313,659.155156
333.736731,467,660.402613
532.545878,410,661.485879
-868.099294,416,662.580433
1022.40941,413,663.663415
798.292252,336,665.084725
-3551.573139,1502,668.384462
242.612996,466,669.574705
1034.90837,282,670.329391
-1246.751763,356,671.265239
1406.220987,1179,674.206262
1576.817561,2450,680.273811
1297.14322,313,681.102381
761.896163,404,682.176721
-2082.891963,805,684.150493
992.307046,463,685.82301
-517.937508,1968,690.067307
-81.47432,465,691.285412
1268.192327,315,692.155742
989.384561,456,693.350292
-3912.289046,1579,697.619957
690.355009,516,698.921138
64.11338,864,701.067649
143.537824,470,702.264838
-681.675557,187,702.830351
254.15813,498,704.094498
-3071.426367,1625,708.257617
-2565.062266,2256,713.706365
136.486372,429,714.877203
-569.16936,1720,719.282068
432.370097,468,720.499173
1131.702558,1662,724.346392
790.086572,521,725.688133
470.400182,493,727.420091
2001.263285,2256,732.311754
36.9498,1396,735.697765
1386.907567,973,738.471173
4609.202707,1560,742.027965
825.965512,475,743.242615
-233.107278,1052,745.769338
1511.294472,1398,749.364341
3091.427026,925,751.672322
-757.729104,342,752.668225
706.941325,318,753.607077
2559.609047,2012,758.891872
2010.537054,4520,769.075784
3458.640608,2616,775.246871
393.495817,2058,780.357417
3897.908382,2022,784.97086
-352.911481,1466,788.849403
562.324563,546,790.247953
-319.328942,705,792.156078
3023.732365,1407,795.545496
722.807179,776,797.650563
2666.370936,3494,803.879674
3552.52278,950,806.343911
478.767666,417,807.34245
619.825238,243,808.00517
6814.185516,4961,819.835169
1053.893201,291,820.617878
502.627447,259,821.365052
9525.398897,3600,830.082402
-36.76937,902,832.497593
2621.610765,968,835.352206
3361.243491,2831,841.674984
1278.16107,3288,849.610936
3367.214738,1592,853.622909
904.941137,2402,859.499124
511.830748,384,860.493812
2847.49164,2034,865.677258
2040.273338,1299,868.586683
1688.073954,1085,871.219969
2552.636101,2111,876.683665
448.573146,235,877.309233
531.527557,400,878.325155
3478.974336,1580,881.934167
575.790751,426,883.06893
689.897366,1417,886.838611
1718.356954,1358,890.049365
1252.996266,1269,893.156469
247.91856,244,893.860108
205.760869,865,896.418227
-603.396358,1439,899.612203
405.519933,281,900.360883
5377.846401,1591,904.077734
1091.427104,1485,908.108864
2872.546095,925,910.449889
580.856686,244,911.164537
-569.648357,2176,916.962712
626.102062,396,917.91858
329.180963,242,918.596195
2222.114192,1932,923.028989
1106.494954,1985,928.066521
2853.821932,2050,932.824117
694.441224,2014,937.978446
256.243412,234,938.624236
2741.502453,1367,941.725385
6106.141504,2836,948.33133
6547.238084,3183,954.553405
-380.953626,396,955.321102
-333.768647,313,955.948463
792.321515,1021,957.951279
10630.043344,5001,969.426163
1109.580059,518,970.819219
1771.500344,1061,973.90633
1313.882786,528,975.14045
1702.463734,829,977.100604
2842.198825,942,979.389541
3908.497112,2366,985.19365
10296.803014,3451,993.45596
3419.244027,931,995.611428
5523.333965,5001,1007.075763
5464.394902,3157,1014.820523
2484.323331,1447,1018.092522
5284.272132,4179,1027.967659
2946.04655,1184,1030.916704
2812.249536,1393,1034.49552
2829.45509,933,1036.648298
1924.759307,955,1038.893719
1758.216153,939,1041.173789
1339.623571,567,1043.10354
1575.133125,910,1045.216206
6327.347653,2940,1052.603363
2359.453052,2500,1058.032591
2478.059363,1293,1061.047364
7465.015071,2750,1067.638773
3473.779567,936,1069.972892
8226.92962,2429,1075.754688
10543.616382,5001,1087.68726
4436.259047,2195,1093.23593
3849.938672,942,1095.361949
6412.979728,2457,1101.541209
978.305773,2095,1106.343586
13110.63756,4737,1117.446582
442.300944,735,1119.248543
3211.614152,2236,1124.963385
205.548329,1802,1129.288769
1257.910331,516,1130.669022
4324.145921,946,1133.255991
9179.376749,3409,1141.389888
3462.733865,909,1143.600214
2327.945831,1043,1146.142522
6691.475935,3465,1154.254883
4867.209624,1840,1158.418682
1280.026201,327,1159.274458
6560.845289,2190,1165.038868
2102.300615,1370,1168.358735
794.050361,330,1169.265608
1375.983412,346,1170.166425
632.117249,544,1171.993082
4064.520746,1411,1175.070443
-251.269383,2040,1179.746088
2598.884876,892,1182.494736
4574.540905,911,1184.653695
1809.74691,1950,1189.264169
10803.116379,2795,1195.904496
3593.581979,904,1198.066458
3144.337716,924,1200.35821
3464.310211,925,1202.930077
1739.133487,892,1205.134251
8385.134059,3401,1213.515089
3636.192397,902,1215.559928
3632.483649,923,1217.76593
3552.56814,1962,1222.961921
5735.331202,2583,1228.921242
3739.92281,929,1231.654485
5235.32853,1564,1235.035189
8658.910949,2780,1241.996147
3581.798256,923,1244.220211
3358.791654,937,1246.530308
3226.517522,905,1248.78337
6117.064826,2457,1254.809878
3576.276004,916,1256.933611
5255.934202,1539,1260.592824
2784.225194,887,1263.159585
3379.888222,918,1265.310667
3557.706351,916,1267.545695
7832.947227,2186,1272.996723
3672.569717,924,1275.059595
3371.74177,1388,1278.4146
3504.56295,915,1280.689645
-409.545897,204,1281.274206
3481.555067,912,1283.927075
3275.575478,1595,1287.632575
3998.605637,897,1289.860597
3964.542773,913,1292.512846
3628.427021,887,1294.424277
3118.339256,901,1296.470134
3807.416248,903,1298.621861
3255.981521,914,1301.006808
3671.24593,912,1303.709261
6856.047843,1506,1307.092993
3312.501268,891,1309.152862
3883.295305,888,1311.469965
3640.970323,913,1314.011583
1269.021087,305,1314.74967
4018.527263,893,1316.802533
3502.810614,921,1319.061055
3384.605068,918,1321.42637
3861.521947,903,1324.097401
3649.823468,877,1326.070457
-277.103447,349,1326.967748
1111.869861,1548,1330.554768
8464.731685,3714,1339.242695
1079.604504,535,1340.627517
6648.630345,2798,1347.441353
3884.398157,893,1349.560275
6275.546295,1584,1353.691613
2822.394968,1513,1357.085764
10505.833245,2801,1363.970738
8103.913974,2169,1368.835353
5315.146562,1542,1372.924196
5844.493512,1558,1376.408966
-666.214983,188,1376.981486
4920.860292,1543,1380.719624
-29.521917,1999,1385.830168
5918.590431,2550,1391.661168
3702.877839,876,1394.099341
3566.138611,873,1396.108057
3640.499467,876,1398.286034
3852.981021,871,1400.446253
1144.910084,479,1401.680714
8762.613707,4033,1411.102683
6632.541785,2880,1418.265017
9790.606665,2769,1425.182778
3934.161801,887,1427.256445
7231.718908,2170,1432.743494
142.324292,693,1434.363838
3573.615126,900,1436.486851
3767.817533,906,1438.653818
2667.138348,954,1441.020319
3302.542506,924,1443.670585
2600.898606,2178,1448.448328
3005.563966,932,1450.669688
3130.457126,900,1453.223005
4371.91497,1133,1455.984331
4269.14211,887,1458.267409
7182.392108,3505,1466.522371
942.626994,388,1467.497255
3467.619513,1526,1471.058187
4203.25848,918,1473.606158
3899.972428,911,1475.755952
3122.799354,931,1478.011522
10841.297844,3849,1487.128624
1243.617118,315,1487.951371
4012.150738,930,1490.179864
2787.926757,911,1492.82089
435.445342,1189,1495.634444
1112.280056,339,1496.497226
5784.099486,1531,1500.204685
6714.288977,2812,1507.011592
6316.520373,2492,1513.220857
3209.843639,1160,1516.052427
2869.014853,4552,1527.059602
4254.200394,901,1529.239581
6324.169213,3390,1537.574629
3622.732222,2199,1543.135193
4210.980388,2100,1547.801272
6079.77365,1525,1551.388237
731.604601,309,1552.767605
4155.760917,1380,1556.023185
3932.733663,898,1558.199159
6595.862561,2137,1563.529881
5546.242124,1535,1566.909948
3247.660923,1654,1570.785835
3467.196426,931,1573.506334
3566.621789,920,1575.852679
3735.484318,911,1578.081293
3284.474285,902,1580.263273
3660.552957,916,1582.990168
3513.56308,917,1585.02533
884.820496,334,1585.875101
6041.544403,2152,1590.935567
3189.476828,908,1593.703078
6794.756232,2777,1600.043548
-366.56125,221,1600.716158
5688.461822,1524,1604.660001
2612.206253,923,1606.771047
6461.09453,2260,1612.157968
8320.383555,2567,1618.655297
3220.219935,2247,1624.345467
902.296254,585,1625.724718
3180.738856,901,1627.803605
3346.938391,922,1630.006369
3866.478562,881,1632.266406
5892.799101,1522,1636.523346
6626.06629,2115,1641.357489
6013.496164,1634,1645.703033
3361.938303,1160,1648.439221
3771.170924,2625,1655.237668
10343.051406,3423,1663.10268
3647.182729,891,1665.577996
7249.555807,2788,1672.016119
6584.09406,1511,1676.228979
3114.458188,941,1678.438708
3666.825401,893,1680.646757
7806.127338,2136,1686.028262
2983.015958,883,1688.067991
2908.664713,1038,1690.638324
5725.319765,2036,1695.877974
1148.278757,554,1697.271239
6723.250047,1533,1700.931037
4118.471953,897,1703.208103
4321.464557,893,1705.805921
3799.766537,916,1707.889649
4480.886183,876,1710.004568
8668.710885,2159,1715.492441
4460.291935,898,1717.601355
3651.499835,967,1719.937492
4058.61558,1539,1723.509733
3153.16178,978,1726.201741
3454.581185,1237,1729.111376
5136.436082,1145,1731.912361
3719.949607,909,1734.188431
6634.093165,1727,1738.530812
6348.996551,2004,1743.246205
1332.261304,303,1744.082963
938.108229,684,1746.158441
6660.191677,1520,1749.635757
6549.868314,2216,1754.459324
3772.273419,930,1756.207601
3389.853996,899,1758.073294
5834.343311,1517,1761.346683
3959.492676,1415,1764.748014
3011.723948,914,1766.774853
13162.663824,2982,1773.234748
6568.774628,1513,1776.009356
5845.701351,1531,1778.693793
13867.160483,4039,1786.747482
4026.416762,890,1788.815357
9465.876172,2892,1794.348076
3394.407053,1346,1797.157625
823.095434,437,1798.125503
3764.759401,903,1800.02943
1458.077149,1145,1802.520521
1394.162399,321,1803.345269
14706.477778,4632,1814.576922
-207.541958,1131,1817.651712
667.109573,515,1818.920864
3613.224632,912,1821.178128
3314.295249,935,1823.402146
3911.96899,900,1826.044678
871.652603,390,1826.976938
3611.864623,906,1829.070831
5988.694545,1515,1832.826773
1194.774895,308,1833.660225
1446.840964,338,1834.57307
-146.447051,1030,1837.484712
11240.8258,2774,1843.761743
1355.930995,301,1844.568475
562.371194,614,1846.551088
3703.085369,1298,1849.698613
8891.182722,2712,1856.784962
1121.149347,358,1857.673769
13304.541011,3388,1865.411913
67.483224,1055,1868.383526
9179.308569,3198,1875.989333
3543.540619,925,1878.560667
3043.494653,1126,1881.133355
3737.572502,1253,1884.087757
3545.241099,908,1886.280747
4042.607744,910,1888.897133
8370.86896,2777,1895.476601
3748.039571,1327,1898.937508
2924.090247,914,1901.086457
2986.536823,893,1903.24646
8802.91701,3382,1911.516216
5424.909636,1516,1915.218575
3893.770986,1280,1918.62111
6089.128691,2944,1925.242856
4165.312503,897,1928.031386
4029.937718,1996,1932.662044
5126.809064,1517,1936.312356
1163.84528,409,1937.826468
8828.354511,5001,1949.700472
13201.494525,3398,1958.17403
1043.369979,559,1959.450505
5941.710823,1516,1962.873187
8928.840722,4149,1973.278344
9970.702924,3689,1982.093151
4646.061125,1571,1985.742306
12814.442903,4699,1997.619367
7118.949483,2099,2002.349289
2794.899036,937,2004.580314
4568.777753,1347,2008.396147
5504.143011,2271,2013.678502
2688.47898,1617,2017.932215
8760.308941,2538,2023.62361
2806.404929,1562,2027.889481
3853.69416,902,2029.960187
7284.029112,2776,2036.412606
2342.998087,3065,2043.602302
1533.895756,659,2045.293823
6837.45957,2940,2052.570301
2915.826332,878,2054.695114
4990.616799,2070,2059.806397
4178.392142,890,2061.894292
14578.53723,4691,2073.35087
9016.487592,2128,2078.711847
3882.120302,891,2080.768859
4917.668618,1915,2085.520992
5442.768321,4151,2095.855581
8163.528587,2147,2100.592882
8675.964281,4006,2109.053751
5771.806751,2134,2113.427257
6715.323262,2778,2119.560482
12293.014767,3402,2127.850968
6513.163265,2399,2132.761544
6461.773409,3961,2141.124555
1159.163571,521,2142.974056
8554.710775,2141,2147.984483
3622.65512,871,2150.215438
6111.006031,1512,2154.232449
11215.489401,4705,2165.444011
5915.307283,1519,2169.175839
4620.552264,882,2171.379352
763.722833,813,2173.826784
3658.128735,871,2175.943233
1135.688112,537,2177.312094
2058.230348,1628,2181.211965
1139.95856,543,2183.271318
8144.861533,2139,2188.198996
5693.911464,1529,2191.891478
9404.518051,2990,2199.184102
4052.055572,1594,2203.712742
8185.792712,2145,2208.61582
4660.866543,1491,2212.264015
-427.032449,201,2212.87657
4133.969688,1139,2215.901319
3151.243575,887,2217.963117
3614.901287,929,2220.216098
10742.607347,4012,2230.080263
1216.32319,541,2231.47242
4121.10821,895,2234.201872
2272.391461,983,2236.389857
3728.383705,897,2238.486276
4244.116901,890,2240.625226
1118.021868,546,2242.055524
4465.800798,903,2244.876197
7127.578745,1523,2248.419385
4480.273278,873,2250.606369
885.131428,297,2251.408097
1383.77604,308,2252.263193
1185.750141,514,2253.648792
1144.859434,293,2254.447396
5303.469232,2154,2259.741712
7339.741057,1526,2263.523506
10037.834295,2880,2270.637106
3995.745411,879,2272.819041
5278.344096,1780,2277.344016
8103.144496,1516,2280.941237
7588.632486,2123,2285.267338
6848.870389,1547,2288.597774
4164.210158,879,2290.604749
1212.158486,540,2291.954703
1411.261014,543,2293.334955
7582.944216,1544,2297.296412
1319.527585,508,2298.628534
1337.397514,534,2299.995775
3345.694358,1004,2302.55112
1206.617426,523,2303.980656
4188.736399,884,2306.549889
1246.080573,514,2307.862085
7188.410805,1519,2311.45469
1139.593968,498,2312.763883
1276.44529,459,2313.946955
1229.575902,289,2315.244016
4776.601434,1160,2317.838378
6987.665836,1524,2321.611915
3938.108828,897,2323.948018
4441.589452,1121,2327.193042
13670.487218,3423,2335.03041
5066.126259,1395,2338.613401
1334.22454,316,2339.439658
1347.877633,523,2340.817089
4049.649227,895,2343.064902
3755.936159,901,2345.367205
4776.627466,898,2347.971388
3535.44037,897,2350.050329
1095.908898,317,2350.878081
4650.896839,883,2353.073069
4320.053557,892,2355.280093
4402.985533,921,2358.057632
1373.963048,326,2358.893875
3841.152588,916,2361.086864
7617.30652,1523,2364.944383
3727.788703,1173,2368.322111
1083.042627,300,2369.069789
4788.282696,879,2371.094627
3103.315501,1242,2373.992836
10733.484764,2158,2379.613744
4754.333146,882,2381.686258
4362.858733,880,2383.868443
7725.606671,1522,2388.067308
4732.517256,1112,2390.582819
5973.459674,1651,2394.415842
8311.314868,1508,2398.663098
5176.663999,881,2400.751144
9937.24755,2180,2406.042976
1257.435217,307,2406.894825
1503.926982,306,2407.719582
